ORF,Observed Expression,Protein Molecules/Cell,Standard Deviation,CEC,Spurious
YCR038W-A,None,-,-,-0.13,1
YCR039C,TAP,%,-,0.51,0
YCR040W,None,-,-,0.39,0
YCR041W,None,-,-,-0.09,1
YCR042C,Both,1.16E+03,-,0.77,0
YCR043C,Both,4.24E+03,-,0.39,0
YCR044C,Both,3.05E+03,-,0.27,0
YCR045C,None,-,-,0.45,0
YCR046C,Both,4.15E+03,-,0.17,0
YCR047C,Both,1.62E+03,-,0.19,0
YCR048W,Both,#,-,0.11,0
YCR049C,None,-,-,0.05,1
YCR050C,None,-,-,0.09,1
YCR051W,Both,7.84E+02,-,0.49,0
YCR052W,TAP,2.47E+03,7.36E+02,0.61,0
YCR053W,Both,2.60E+04,-,0.8,0
YCR054C,Both,8.97E+03,-,0.78,0
YCR057C,Both,1.67E+04,3.09E+03,0.8,0
YCR059C,Both,3.03E+03,-,0.41,0
YCR060W,Both,1.66E+03,-,0.19,0
YCR061W,GFP,-,-,0.18,0
YCR063W,Both,1.90E+03,-,0.2,0
YCR064C,None,-,-,0.02,1
YCR065W,Both,3.58E+02,-,0.68,0
YCR066W,TAP,2.06E+02,-,0.73,0
YCR067C,Both,%,-,0.61,0
YCR068W,TAP,3.06E+03,-,0.44,0
YCR069W,Both,%,-,0.55,0
YCR071C,Both,1.71E+03,-,0.42,0
YCR072C,None,-,-,0.6,0
YCR073C,TAP,5.69E+01,-,0.83,0
YCR073W-A,Both,1.16E+03,-,0.42,0
YCR075C,None,-,-,0.05,1
YCR076C,TAP,3.58E+02,-,0.39,0
YCR077C,Both,6.56E+02,-,0.74,0
YCR079W,Both,4.32E+02,-,0.29,0
YCR081W,Both,1.73E+03,-,0.68,0
YCR082W,Both,9.81E+02,-,0.56,0
YCR083W,Both,1.01E+03,-,0.4,0
YCR084C,Both,5.84E+03,-,0.66,0
YCR085W,None,-,-,0.15,1
YCR086W,Both,1.92E+03,-,0.32,0
YCR087C-A,Both,3.43E+03,-,0.26,0
YCR087W,None,-,-,-0.19,1
YCR088W,Both,6.06E+02,-,0.79,0
YCR089W,None,-,-,0.24,0
YCR090C,Both,3.97E+03,-,0.62,0
YCR091W,None,-,-,0.7,0
YCR092C,Both,7.36E+02,-,0.76,0
YCR093W,Both,4.30E+03,-,0.8,0
YCR094W,Both,5.89E+02,-,0.7,0
YCR095C,Both,5.37E+03,-,0.66,0
YCR096C,None,-,-,0.39,0
YCR097W,None,-,-,0.46,0
YCR097W-A,None,-,-,-0.23,1
YCR098C,None,-,-,0.58,0
YCR099C,None,-,-,0.59,0
YCR100C,None,-,-,0.57,0
YCR101C,None,-,-,0.4,0
YCR102C,None,-,-,0.65,0
YCR102W-A,None,-,-,0.2,1
YCR104W,None,-,-,0.49,0
YCR105W,TAP,2.87E+03,-,0.59,0
YCR106W,None,-,-,0.66,0
YCR107W,None,-,-,0.66,0
YDL001W,Both,9.52E+02,-,0.72,0
YDL002C,Both,1.76E+03,-,0.59,0
YDL003W,Both,1.04E+03,1.06E+02,0.8,0
YDL004W,None,-,-,0.62,0
YDL005C,Both,1.08E+04,-,0.59,0
YDL006W,TAP,1.52E+03,-,0.63,0
YDL007W,None,-,-,0.79,0
YDL008W,Both,3.77E+02,-,0.57,0
YDL009C,None,-,-,-0.03,1
YDL010W,Both,1.64E+03,-,0.6,0
YDL011C,None,-,-,0.37,0
YDL012C,Both,2.25E+03,-,0.16,0
YDL013W,None,-,-,0.59,0
YDL014W,None,-,-,0.52,0
YDL015C,Both,2.36E+04,-,0.5,0
YDL016C,None,-,-,0,1
YDL017W,Both,1.60E+03,8.16E+02,0.74,0
YDL018C,Both,3.19E+03,-,0.55,0
YDL019C,Both,1.07E+03,-,0.89,0
YDL020C,Both,%,-,0.69,0
YDL021W,Both,2.02E+03,-,0.77,0
YDL022W,Both,8.07E+02,-,0.7,0
YDL023C,None,-,-,0.23,1
YDL024C,None,-,-,0.62,0
YDL025C,Both,8.61E+02,-,0.6,0
YDL026W,None,-,-,0.17,1
YDL027C,Both,4.50E+02,-,0.48,0
YDL028C,Both,%,-,0.69,0
YDL029W,Both,6.65E+03,-,0.78,0
YDL030W,Both,3.92E+03,4.29E+02,0.67,0
YDL031W,None,-,-,0.9,0
YDL032W,None,-,-,0.05,1
YDL033C,Both,1.51E+03,-,0.48,0
YDL034W,None,-,-,-0.04,1
YDL035C,None,-,-,0.6,0
YDL036C,Both,6.39E+02,-,0.67,0
YDL037C,None,-,-,0.19,0
YDL038C,None,-,-,0.26,0
YDL039C,None,-,-,0.35,0
YDL040C,Both,7.60E+03,-,0.86,0
YDL041W,None,-,-,0.3,0
YDL042C,Both,3.35E+03,-,0.62,0
YDL043C,Both,3.46E+03,-,0.7,0
YDL044C,Both,2.06E+03,-,0.63,0
YDL045C,Both,#,-,0.63,0
YDL045W-A,Both,2.59E+02,-,0.28,0
YDL046W,Both,2.84E+03,-,0.6,0
YDL047W,Both,3.97E+03,-,0.46,0
YDL048C,Both,6.23E+02,-,0.35,0
YDL049C,None,-,-,0.39,0
YDL050C,None,-,-,0.25,1
YDL051W,GFP,-,-,0.76,0
YDL052C,Both,#,-,0.6,0
YDL053C,Both,1.56E+03,-,0.49,0
YDL054C,GFP,-,-,0.12,0
YDL055C,Both,9.71E+04,-,0.67,0
YDL056W,Both,5.21E+02,-,0.75,0
YDL057W,TAP,%,-,0.47,0
YDL058W,Both,2.33E+03,-,0.78,0
YDL059C,Both,4.68E+02,-,0.44,0
YDL060W,Both,1.39E+03,-,0.87,0
YDL061C,Both,5.41E+03,-,0.25,0
YDL062W,None,-,-,0.19,1
YDL063C,Both,2.60E+03,-,0.64,0
YDL064W,Both,2.60E+03,-,0.56,0
YDL065C,Both,5.35E+03,-,0.77,0
YDL066W,GFP,-,-,0.75,0
YDL067C,Both,3.55E+04,-,0.28,0
YDL068W,None,-,-,-0.15,1
YDL069C,TAP,5.56E+02,-,0.31,0
YDL070W,Both,2.93E+03,-,0.73,0
YDL071C,None,-,-,0.06,1
YDL072C,Both,2.84E+03,-,0.58,0
YDL073W,None,-,-,0.73,0
YDL074C,Both,2.98E+03,-,0.69,0
YDL075W,None,-,-,0.61,0
YDL076C,Both,3.06E+03,-,0.56,0
YDL077C,Both,3.19E+02,-,0.76,0
YDL078C,Both,3.30E+03,-,0.65,0
YDL079C,None,-,-,0.63,0
YDL080C,Both,2.14E+03,-,0.63,0
YDL081C,GFP,-,-,0.67,0
YDL082W,Both,1.33E+05,-,0.56,0
YDL083C,GFP,-,-,0.58,0
YDL084W,Both,5.17E+04,-,0.81,0
YDL085C-A,Both,8.76E+02,-,0.6,0
YDL085W,None,-,-,0.65,0
YDL086W,None,-,-,0.47,0
YDL087C,Both,2.27E+03,-,0.25,0
YDL088C,Both,2.74E+03,-,0.58,0
YDL089W,Both,6.06E+02,-,0.68,0
YDL090C,Both,3.91E+03,-,0.57,0
YDL091C,Both,2.33E+02,-,0.61,0
YDL092W,Both,8.00E+03,-,0.53,0
YDL093W,None,-,-,0.6,0
YDL094C,None,-,-,0.18,0
YDL095W,Both,4.15E+04,-,0.7,0
YDL096C,None,-,-,0.08,1
YDL097C,Both,1.68E+04,-,0.66,0
YDL098C,Both,9.07E+02,-,0.48,0
YDL099W,Both,5.22E+03,-,0.76,0
YDL100C,Both,1.73E+04,-,0.79,0
YDL101C,Both,3.48E+03,-,0.76,0
YDL102W,GFP,-,-,0.85,0
YDL103C,Both,5.48E+03,-,0.78,0
YDL104C,Both,1.40E+03,-,0.61,0
YDL105W,Both,#,-,0.76,0
YDL106C,Both,6.42E+03,-,0.62,0
YDL107W,Both,7.36E+02,-,0.56,0
YDL108W,Both,4.40E+03,-,0.62,0
YDL109C,TAP,1.95E+02,-,0.72,0
YDL110C,Both,2.11E+03,-,0.46,0
YDL111C,Both,7.11E+03,-,0.53,0
YDL112W,Both,8.61E+02,-,0.82,0
YDL113C,Both,3.58E+02,-,0.77,0
YDL114W,None,-,-,0.45,0
YDL114W-A,None,-,-,0.03,1
YDL115C,Both,1.08E+03,-,0.63,0
YDL116W,Both,8.58E+03,-,0.78,0
YDL117W,Both,3.77E+02,-,0.77,0
YDL118W,None,-,-,0.24,1
YDL119C,Both,1.55E+03,-,0.41,0
YDL120W,Both,1.56E+03,-,0.54,0
YDL121C,Both,3.26E+03,-,0.7,0
YDL122W,Both,8.97E+03,-,0.87,0
YDL123W,Both,6.78E+03,-,0.1,0
YDL124W,Both,4.03E+03,-,0.76,0
YDL125C,Both,5.41E+03,-,0.61,0
YDL126C,Both,7.84E+04,-,0.82,0
YDL127W,None,-,-,0.45,0
YDL128W,Both,7.77E+03,-,0.54,0
YDL129W,Both,4.50E+02,-,0.53,0
YDL130W,Both,2.24E+04,-,0.53,0
YDL130W-A,Both,%,-,0.49,0
YDL131W,Both,2.19E+04,-,0.7,0
YDL132W,Both,3.77E+02,-,0.83,0
YDL133C-A,Both,4.91E+03,-,0.14,0
YDL133W,None,-,-,0.73,0
YDL134C,Both,5.62E+03,-,0.61,0
YDL135C,Both,1.67E+03,-,0.74,0
YDL136W,Both,1.91E+04,-,0.52,0
YDL137W,Both,2.50E+04,-,0.64,0
YDL138W,TAP,#,-,0.55,0
YDL139C,Both,5.56E+02,-,0.56,0
YDL140C,Both,#,-,0.73,0
YDL141W,Both,1.97E+03,-,0.7,0
YDL142C,Both,8.76E+02,-,0.23,0
YDL143W,TAP,5.53E+03,8.97E+02,0.75,0
YDL144C,Both,5.17E+03,-,0.32,0
YDL145C,Both,1.52E+04,-,0.88,0
YDL146W,Both,3.29E+02,-,0.64,0
YDL147W,Both,5.71E+03,-,0.77,0
YDL148C,None,-,-,0.87,0
YDL149W,TAP,#,-,0.76,0
YDL150W,Both,9.98E+02,1.57E+02,0.74,0
YDL151C,None,-,-,0.22,0
YDL152W,GFP,-,-,0.29,0
YDL153C,None,-,-,0.84,0
YDL154W,None,-,-,0.75,0
YDL155W,Both,8.92E+02,-,0.66,0
YDL156W,Both,3.81E+03,-,0.71,0
YDL157C,Both,7.52E+02,-,0.62,0
YDL158C,None,-,-,0.24,1
YDL159W,Both,6.72E+02,-,0.61,0
YDL159W-A,None,-,-,0.06,1
YDL160C,Both,4.29E+04,-,0.7,0
YDL161W,Both,%,-,0.54,0
YDL162C,None,-,-,0.12,1
YDL163W,None,-,-,0.36,0
YDL164C,Both,1.49E+02,-,0.84,0
YDL165W,Both,2.12E+03,-,0.48,0
YDL166C,Both,8.35E+03,-,0.55,0
YDL167C,Both,3.57E+03,-,0.46,0
YDL168W,Both,8.37E+03,-,0.64,0
YDL169C,None,-,-,0.49,0
YDL170W,Both,1.20E+03,-,0.58,0
YDL171C,Both,1.89E+04,-,0.81,0
YDL172C,None,-,-,0.29,0
YDL173W,Both,1.14E+03,-,0.58,0
YDL174C,Both,1.08E+04,-,0.74,0
YDL175C,Both,1.80E+03,-,0.44,0
YDL176W,Both,3.39E+02,-,0.53,0
YDL177C,TAP,9.07E+02,-,0.49,0
YDL178W,Both,1.14E+04,-,0.83,0
YDL179W,None,-,-,0.38,0
YDL180W,GFP,-,-,0.5,0
YDL181W,Both,9.81E+02,-,0.41,0
YDL182W,Both,2.81E+04,-,0.63,0
YDL183C,None,-,-,0.47,0
YDL184C,Both,1.19E+04,-,0.14,0
YDL185C-A,None,-,-,0.08,1
YDL185W,Both,2.00E+05,-,0.79,0
YDL186W,None,-,-,0.44,0
YDL187C,None,-,-,-0.14,1
YDL188C,Both,4.11E+03,-,0.64,0
YDL189W,Both,8.92E+02,-,0.54,0
YDL190C,Both,2.60E+03,-,0.85,0
YDL191W,GFP,-,-,0.53,0
YDL192W,Both,1.93E+04,-,0.64,0
YDL193W,GFP,-,-,0.79,0
YDL194W,None,-,-,0.72,0
YDL195W,Both,1.84E+03,-,0.78,0
YDL196W,None,-,-,-0.05,1
YDL197C,Both,1.91E+03,-,0.59,0
YDL198C,None,-,-,0.64,0
YDL199C,None,-,-,0.46,0
YDL200C,None,-,-,0.61,0
YDL201W,Both,2.63E+03,-,0.72,0
YDL202W,Both,6.07E+03,-,0.52,0
YDL203C,Both,9.89E+01,-,0.69,0
YDL204W,Both,%,-,0.64,0
YDL205C,Both,8.48E+03,1.08E+03,0.65,0
YDL206W,None,-,-,0.47,0
YDL207W,Both,1.04E+03,-,0.65,0
YDL208W,GFP,-,-,0.66,0
YDL209C,Both,2.65E+03,-,0.72,0
YDL210W,None,-,-,0.56,0
YDL211C,Both,3.36E+03,-,0.34,0
YDL212W,Both,6.51E+03,-,0.64,0
YDL213C,Both,8.97E+03,-,0.68,0
YDL214C,None,-,-,0.68,0
YDL215C,Both,7.40E+03,-,0.84,0
YDL216C,Both,%,-,0.53,0
YDL217C,None,-,-,0.48,0
YDL218W,None,-,-,0.46,0
YDL219W,Both,4.61E+03,-,0.68,0
YDL220C,Both,3.19E+02,3.10E+01,0.47,0
YDL221W,None,-,-,-0.07,1
YDL222C,Both,3.29E+02,-,0.27,0
YDL223C,GFP,-,-,0.76,0
YDL224C,GFP,-,-,0.57,0
YDL225W,Both,5.62E+03,-,0.84,0
YDL226C,Both,9.56E+03,-,0.78,0
YDL227C,Both,%,-,0.62,0
YDL228C,TAP,%,-,0.21,0
YDL229W,Both,1.70E+05,-,0.71,0
YDL230W,Both,2.69E+03,-,0.37,0
YDL231C,None,-,-,0.74,0
YDL232W,Both,2.43E+03,-,0.38,0
YDL233W,Both,1.01E+03,-,0.47,0
YDL234C,Both,2.46E+03,-,0.71,0
YDL235C,Both,6.33E+03,-,0.72,0
YDL236W,Both,2.98E+03,-,0.71,0
YDL237W,None,-,-,0.74,0
YDL238C,Both,2.79E+02,-,0.6,0
YDL239C,None,-,-,0.71,0
YDL240C-A,None,-,-,0.12,1
YDL240W,Both,4.68E+02,-,0.76,0
YDL241W,TAP,1.30E+03,-,0.32,0
YDL242W,None,-,-,0.27,0
YDL243C,None,-,-,0.67,0
YDL244W,None,-,-,0.67,0
YDL245C,None,-,-,0.56,0
YDL246C,None,-,-,0.62,0
YDL247W,None,-,-,0.56,0
YDL247W-A,None,-,-,0.02,1
YDL248W,GFP,-,-,0.41,0
YDR001C,Both,1.84E+03,-,0.81,0
YDR002W,None,-,-,0.76,0
YDR003W,Both,1.23E+03,-,0.43,0
YDR004W,Both,2.38E+02,-,0.73,0
YDR005C,Both,1.72E+03,-,0.57,0
YDR006C,GFP,-,-,0.69,0
YDR007W,Both,1.85E+03,-,0.62,0
YDR008C,None,-,-,0.25,0
YDR009W,Both,7.21E+02,-,0.66,0
YDR010C,None,-,-,-0.04,1
YDR011W,Both,1.30E+03,-,0.78,0
YDR012W,Both,1.51E+05,-,0.56,0
YDR013W,TAP,1.43E+03,-,0.58,0
YDR014W,Both,7.21E+02,-,0.64,0
YDR015C,None,-,-,0.21,1
YDR016C,Both,7.99E+02,-,0.5,0
YDR017C,Both,1.94E+03,-,0.78,0
YDR018C,None,-,-,0.58,0
YDR019C,Both,4.09E+03,-,0.75,0
YDR020C,Both,4.28E+03,-,0.56,0
YDR021W,Both,3.09E+03,3.29E+02,0.72,0
YDR022C,Both,4.86E+02,-,0.58,0
YDR023W,GFP,-,-,0.83,0
YDR024W,GFP,-,-,-0.15,0
YDR025W,Both,#,-,0.41,0
YDR026C,Both,4.32E+02,-,0.77,0
YDR027C,Both,2.54E+03,-,0.72,0
YDR028C,Both,2.56E+03,-,0.73,0
YDR029W,None,-,-,0.04,1
YDR030C,None,-,-,0.63,0
YDR031W,GFP,-,-,0.41,0
YDR032C,Both,2.33E+03,-,0.64,0
YDR033W,Both,1.82E+05,-,0.5,0
YDR034C,Both,4.50E+02,-,0.76,0
YDR034C-A,None,-,-,0.1,1
YDR034W-B,Both,8.61E+02,-,0.02,0
YDR035W,Both,8.97E+03,-,0.78,0
YDR036C,Both,3.95E+03,-,0.81,0
YDR037W,None,-,-,0.8,0
YDR038C,Both,6.06E+02,-,0.81,0
YDR039C,Both,6.39E+02,-,0.81,0
YDR040C,Both,6.88E+02,-,0.81,0
YDR041W,Both,8.48E+03,-,0.62,0
YDR042C,None,-,-,0.33,0
YDR043C,Both,5.56E+02,-,0.34,0
YDR044W,Both,2.20E+04,3.43E+03,0.64,0
YDR045C,None,-,-,0.41,0
YDR046C,Both,%,-,0.55,0
YDR047W,Both,9.22E+03,4.56E+02,0.63,0
YDR048C,None,-,-,0.11,1
YDR049W,Both,3.93E+03,-,0.78,0
YDR050C,Both,2.07E+05,-,0.65,0
YDR051C,Both,3.17E+03,-,0.64,0
YDR052C,Both,%,-,0.78,0
YDR053W,None,-,-,0.08,1
YDR054C,Both,8.17E+03,-,0.59,0
YDR055W,Both,1.17E+04,-,0.53,0
YDR056C,Both,1.60E+03,-,0.66,0
YDR057W,None,-,-,0.71,0
YDR058C,None,-,-,0.57,0
YDR059C,Both,9.81E+02,-,0.52,0
YDR060W,Both,1.50E+04,-,0.89,0
YDR061W,Both,1.58E+03,-,0.64,0
YDR062W,Both,5.45E+04,-,0.72,0
YDR063W,Both,3.04E+03,-,0.69,0
YDR064W,None,-,-,0.56,0
YDR065W,Both,1.67E+03,-,0.54,0
YDR066C,Both,1.05E+03,-,0.28,0
YDR067C,Both,%,-,0.49,0
YDR068W,Both,3.27E+03,-,0.7,0
YDR069C,Both,4.28E+02,-,0.71,0
YDR070C,Both,9.37E+02,-,0.64,0
YDR071C,Both,8.68E+03,-,0.66,0
YDR072C,Both,6.06E+02,-,0.42,0
YDR073W,Both,1.03E+03,-,0.19,0
YDR074W,Both,2.27E+04,-,0.82,0
YDR075W,Both,2.84E+03,-,0.59,0
YDR076W,Both,1.05E+03,-,0.52,0
YDR077W,Both,1.63E+03,-,0.36,0
YDR078C,None,-,-,0.47,0
YDR079C-A,Both,#,-,0.58,0
YDR079W,Both,4.68E+02,-,0.46,0
YDR080W,Both,1.17E+03,-,0.79,0
YDR081C,Both,5.72E+02,8.11E+01,0.7,0
YDR082W,None,-,-,0.56,0
YDR083W,Both,2.78E+03,-,0.8,0
YDR084C,Both,1.04E+03,-,0.24,0
YDR085C,None,-,-,0.7,0
YDR086C,GFP,-,-,0.62,0
YDR087C,Both,6.96E+03,-,0.65,0
YDR088C,Both,1.49E+03,2.52E+02,0.73,0
YDR089W,Both,1.72E+02,-,0.71,0
YDR090C,Both,%,-,0.5,0
YDR091C,Both,6.28E+03,-,0.75,0
YDR092W,Both,8.97E+03,-,0.56,0
YDR093W,Both,%,-,0.83,0
YDR094W,None,-,-,0.02,1
YDR095C,None,-,-,-0.14,1
YDR096W,Both,4.32E+02,-,0.57,0
YDR097C,Both,5.33E+03,-,0.89,0
YDR098C,Both,1.10E+04,-,0.68,0
YDR099W,Both,4.76E+04,-,0.68,0
YDR100W,Both,4.54E+03,-,0.36,0
YDR101C,Both,4.51E+04,-,0.77,0
YDR102C,None,-,-,0.12,1
YDR103W,Both,1.90E+03,-,0.72,0
YDR104C,None,-,-,0.74,0
YDR105C,Both,%,-,0.36,0
YDR106W,None,-,-,0.49,0
YDR107C,None,-,-,0.49,0
YDR108W,Both,8.76E+03,-,0.69,0
YDR109C,TAP,%,-,0.72,0
YDR110W,Both,1.51E+03,-,0.79,0
YDR111C,Both,3.48E+03,-,0.77,0
YDR112W,None,-,-,0.01,1
YDR113C,None,-,-,0.75,0
YDR114C,None,-,-,-0.1,1
YDR115W,Both,1.95E+02,-,0.21,0
YDR116C,Both,7.01E+03,-,0.56,0
YDR117C,TAP,3.87E+03,-,0.8,0
YDR118W,Both,1.33E+03,8.53E+01,0.67,0
YDR119W,GFP,-,-,0.57,0
YDR120C,Both,1.55E+04,-,0.77,0
YDR121W,Both,2.10E+03,-,0.72,0
YDR122W,Both,2.79E+02,-,0.77,0
YDR123C,Both,7.84E+02,-,0.47,0
YDR124W,TAP,3.51E+03,-,0.47,0
YDR125C,Both,1.43E+02,-,0.56,0
YDR126W,None,-,-,0.16,0
YDR127W,Both,6.42E+03,-,0.84,0
YDR128W,Both,5.56E+02,-,0.68,0
YDR129C,Both,3.51E+03,-,0.87,0
YDR130C,GFP,-,-,0.48,0
YDR131C,GFP,-,-,0.55,0
YDR132C,Both,1.72E+02,-,0.69,0
YDR133C,None,-,-,-0.11,1
YDR134C,None,-,-,0.45,0
YDR135C,Both,3.96E+02,-,0.81,0
YDR136C,None,-,-,-0.05,1
YDR137W,Both,5.89E+02,-,0.7,0
YDR138W,Both,1.34E+03,-,0.77,0
YDR139C,Both,1.31E+03,-,0.42,0
YDR140W,Both,3.39E+03,-,0.54,0
YDR141C,Both,2.70E+03,-,0.74,0
YDR142C,TAP,5.89E+02,-,0.51,0
YDR143C,TAP,1.72E+02,-,0.62,0
YDR144C,Both,5.38E+02,-,0.61,0
YDR145W,Both,9.30E+02,4.50E+01,0.52,0
YDR146C,Both,6.88E+02,-,0.74,0
YDR147W,Both,3.42E+03,-,0.69,0
YDR148C,Both,7.97E+03,-,0.76,0
YDR149C,None,-,-,0.18,0
YDR150W,Both,%,-,0.77,0
YDR151C,None,-,-,0.51,0
YDR152W,Both,1.03E+04,-,0.74,0
YDR153C,Both,8.10E+03,-,0.72,0
YDR154C,None,-,-,0.03,1
YDR155C,Both,8.60E+04,-,0.57,0
YDR156W,Both,3.10E+03,-,0.39,0
YDR157W,None,-,-,0.07,1
YDR158W,Both,1.84E+04,-,0.74,0
YDR159W,Both,3.39E+02,-,0.77,0
YDR160W,None,-,-,0.61,0
YDR161W,Both,1.63E+03,-,0.75,0
YDR162C,TAP,5.21E+02,-,0.63,0
YDR163W,None,-,-,0.44,0
YDR164C,Both,6.39E+02,-,0.77,0
YDR165W,Both,5.91E+03,-,0.78,0
YDR166C,Both,3.40E+03,2.28E+02,0.71,0
YDR167W,Both,3.37E+03,-,0.55,0
YDR168W,Both,1.02E+04,-,0.82,0
YDR169C,Both,6.39E+02,-,0.58,0
YDR170C,Both,3.67E+03,-,0.87,0
YDR170W-A,Both,2.91E+03,-,0.5,0
YDR171W,Both,1.47E+03,-,0.71,0
YDR172W,Both,7.89E+04,9.52E+03,0.79,0
YDR173C,Both,2.72E+03,-,0.65,0
YDR174W,Both,1.90E+04,-,0.71,0
YDR175C,Both,3.15E+03,-,0.69,0
YDR176W,Both,2.47E+03,-,0.76,0
YDR177W,Both,8.94E+03,-,0.7,0
YDR178W,Both,7.92E+03,-,0.52,0
YDR179C,Both,3.58E+02,-,0.46,0
YDR179W-A,TAP,2.59E+02,-,0.4,0
YDR180W,Both,3.31E+03,-,0.77,0
YDR181C,Both,7.68E+02,-,0.7,0
YDR182W,Both,5.83E+02,7.74E+01,0.51,0
YDR183W,Both,2.25E+03,-,0.65,0
YDR184C,Both,8.46E+02,-,0.64,0
YDR185C,Both,6.72E+02,-,0.2,0
YDR186C,Both,1.95E+02,-,0.59,0
YDR187C,None,-,-,-0.05,1
YDR188W,None,-,-,0.6,0
YDR189W,Both,5.78E+03,1.60E+03,0.85,0
YDR190C,Both,1.16E+04,-,0.79,0
YDR191W,Both,3.77E+02,-,0.54,0
YDR192C,None,-,-,0.32,0
YDR193W,GFP,-,-,0.28,0
YDR194C,Both,1.03E+04,-,0.82,0
YDR195W,Both,7.45E+03,-,0.68,0
YDR196C,Both,1.66E+03,-,0.53,0
YDR197W,Both,2.14E+03,-,0.59,0
YDR198C,TAP,7.68E+02,-,0.55,0
YDR199W,None,-,-,0.02,1
YDR200C,Both,3.77E+02,-,0.69,0
YDR201W,Both,6.39E+02,-,0.7,0
YDR202C,Both,2.86E+03,-,0.64,0
YDR203W,None,-,-,0.07,1
YDR204W,GFP,-,-,0.52,0
YDR205W,Both,1.07E+03,-,0.41,0
YDR206W,None,-,-,0.6,0
YDR207C,Both,2.17E+02,-,0.56,0
YDR208W,GFP,-,-,0.64,0
YDR209C,None,-,-,0.23,1
YDR210W,Both,1.31E+04,-,0.26,0
YDR211W,Both,3.38E+04,6.70E+03,0.8,0
YDR212W,None,-,-,0.77,0
YDR213W,Both,7.52E+02,-,0.7,0
YDR214W,Both,1.39E+04,-,0.6,0
YDR215C,None,-,-,-0.1,1
YDR216W,Both,%,-,0.75,0
YDR217C,Both,4.00E+02,-,0.76,0
YDR218C,None,-,-,0.74,0
YDR219C,Both,1.36E+03,-,0.6,0
YDR220C,None,-,-,-0.04,1
YDR221W,Both,9.76E+03,-,0.79,0
YDR222W,Both,1.01E+03,-,0.68,0
YDR223W,None,-,-,0.53,0
YDR224C,Both,#,-,0.6,0
YDR225W,GFP,-,-,0.58,0
YDR226W,Both,1.23E+05,-,0.76,0
YDR227W,Both,#,-,0.75,0
YDR228C,Both,2.80E+03,7.53E+02,0.69,0
YDR229W,Both,2.84E+03,-,0.61,0
YDR230W,None,-,-,0.03,1
YDR231C,Both,%,-,0.35,0
YDR232W,Both,2.26E+04,2.66E+03,0.64,0
YDR233C,Both,3.71E+04,-,0.64,0
YDR234W,Both,7.35E+03,-,0.75,0
YDR235W,Both,1.73E+03,8.03E+01,0.55,0
YDR236C,Both,8.30E+02,-,0.49,0
YDR237W,None,-,-,0.55,0
YDR238C,Both,2.60E+04,-,0.86,0
YDR239C,Both,1.55E+02,-,0.73,0
YDR240C,Both,3.61E+02,5.81E+01,0.63,0
YDR241W,None,-,-,0.07,1
YDR242W,None,-,-,0.73,0
YDR243C,Both,#,-,0.9,0
YDR244W,Both,2.07E+03,-,0.74,0
YDR245W,Both,6.28E+03,-,0.52,0
YDR246W,Both,3.13E+03,-,0.39,0
YDR247W,Both,7.84E+02,-,0.57,0
YDR248C,Both,5.04E+02,-,0.64,0
YDR249C,None,-,-,0.42,0
YDR250C,Both,%,-,0.04,0
YDR251W,Both,3.00E+02,-,0.69,0
YDR252W,Both,1.82E+03,-,0.57,0
YDR253C,Both,#,-,0.54,0
YDR254W,Both,6.06E+02,-,0.56,0
YDR255C,None,-,-,0.58,0
YDR256C,TAP,6.23E+02,-,0.65,0
YDR257C,Both,4.01E+03,-,0.69,0
YDR258C,Both,2.99E+03,-,0.86,0
YDR259C,TAP,1.35E+03,-,0.49,0
YDR260C,None,-,-,0.38,0
YDR261C,Both,2.41E+03,-,0.64,0
YDR262W,Both,4.85E+03,-,0.66,0
YDR263C,None,-,-,0.66,0
YDR264C,Both,4.07E+03,-,0.71,0
YDR265W,GFP,-,-,0.58,0
YDR266C,Both,1.91E+03,-,0.74,0
YDR267C,Both,5.64E+03,-,0.49,0
YDR268W,Both,6.72E+02,-,0.64,0
YDR269C,None,-,-,-0.03,1
YDR270W,GFP,-,-,0.72,0
YDR271C,None,-,-,0.25,0
YDR272W,Both,1.37E+04,-,0.66,0
YDR273W,None,-,-,0.72,0
YDR274C,None,-,-,-0.25,1
YDR275W,Both,9.22E+02,-,0.5,0
YDR276C,Both,#,-,0.32,0
YDR277C,TAP,%,-,0.49,0
YDR278C,None,-,-,-0.18,1
YDR279W,Both,2.34E+03,-,0.66,0
YDR280W,Both,4.80E+03,-,0.73,0
YDR281C,GFP,-,-,0.29,0
YDR282C,None,-,-,0.58,0
YDR283C,Both,2.79E+02,-,0.84,0
YDR284C,Both,3.04E+03,-,0.42,0
YDR285W,TAP,3.91E+02,-,0.73,0
YDR286C,None,-,-,0.42,0
YDR287W,None,-,-,0.56,0
YDR288W,Both,2.54E+03,-,0.68,0
YDR289C,TAP,3.93E+03,-,0.77,0
YDR290W,None,-,-,0.27,0
YDR291W,Both,2.59E+02,-,0.79,0
YDR292C,TAP,2.00E+03,-,0.82,0
YDR293C,Both,1.10E+03,-,0.85,0
YDR294C,Both,1.31E+04,-,0.71,0
YDR295C,Both,1.50E+03,-,0.76,0
YDR296W,Both,2.61E+03,-,0.29,0
YDR297W,Both,5.43E+04,-,0.57,0
YDR298C,Both,3.24E+04,-,0.72,0
YDR299W,Both,1.54E+04,-,0.85,0
